EnglishWord,WordType,Level,Translation,ExampleSentenceEn,ExampleSentenceTR
a.m./A.M./am/AM,adverb,A1,sabah,The meeting is scheduled for 8 a.m.,Toplantı saat 8 sabah olarak planlandı.
abandon,verb,B1,terk etmek,He had to abandon the project halfway.,Projeyi yarıda terk etmek zorunda kaldı.
abandoned,adjective,B2,terk edilmiş,The house looked old and abandoned.,Ev eski ve terk edilmiş görünüyordu.
ability,noun,A2,yetenek,She has an amazing ability to learn.,Öğrenme yeteneği inanılmaz.
able,adjective,B1,hünerli,He is able to fix the computer.,Bilgisayarı tamir edebilme yeteneğine sahip.
abnormal,adjective,B1,anormal,The weather is quite abnormal today.,Hava bugünkü oldukça anormal.
abnormally,adverb,B2,anormal olarak,The results were abnormally high.,Sonuçlar anormal derecede yüksekti.
aboard,adverb,B1,gemide,Welcome aboard our flight!,Uçuşumuza hoş geldiniz!
abolish,verb,B2,ortadan kaldırmak,They want to abolish that old law.,O eski yasayı ortadan kaldırmak istiyorlar.
aboriginal,adjective,B2,yerli,Aboriginal culture is rich and diverse.,Yerli kültürü zengin ve çeşitlidir.
aborigine,noun,B1,yerli,The aborigines have a long history.,Yerlilerin uzun bir tarihi var.
about,adverb,A1,hakkında,Tell me more about your plans.,Planların hakkında daha fazla bilgi ver.
about,preposition,A1,hakkında,I read a book about history.,Tarih hakkında bir kitap okudum.
above,adjective,B1,üstünde,The plane flew above the clouds.,Uçak bulutların üzerinde uçtu.
above,adverb,A1,üstünde,The sun is above us in the sky.,Güneş gökyüzünde üzerimizde.
above,preposition,A1,üstünde,Keep the book above the table.,Kitabı masanın üzerinde tut.
abroad,adverb,A2,yurt dışı,She wants to study abroad.,Yurt dışında okumak istiyor.
abruptly,adverb,B2,aniden,The car stopped abruptly.,Araba aniden durdu.
absence,noun,B1,yokluk,Her absence was noticeable.,Yokluğu dikkat çekiciydi.
absent,adjective,B1,mevcut olmayan,Many students were absent today.,Bugün birçok öğrenci yoktu.
absentee,noun,B2,devamsızlık,He is a regular absentee.,O düzenli olarak devamsızlık yapıyor.
absolute,adjective,B1,mutlak,She has absolute trust in him.,O ona mutlak bir güven duyuyor.
absolutely,adverb,B1,kesinlikle,I absolutely agree with you.,Seninle kesinlikle katılıyorum.
absorb,verb,B1,emmek,Plants absorb water from the soil.,Bitkiler topraktan su emer.
abstract,adjective,B1,soyut,She prefers abstract art.,Soyut sanatı tercih ediyor.
absurd,adjective,B2,absürt,That idea is simply absurd.,O fikir basitçe absürt.
abundance,noun,B1,bolluk,Theres an abundance of food here.,Burada bol miktarda yiyecek var.
abundant,adjective,B1,bol,This years harvest is abundant.,Bu yılki hasat bol.
abuse,noun,B2,suistimal etmek,He reported abuse at work.,O iş yerinde suistimali bildirdi.
academic,adjective,B1,akademik,She has an academic interest in history.,Onun tarih alanında akademik bir ilgisi var.
academy,noun,B1,akademi,He studies at the music academy.,O müzik akademisinde eğitim görüyor.
accent,noun,B1,aksam,She has a British accent.,Onun Britanya aksanı var.
accept,verb,A2,kabul etmek,They accept all applications.,Onlar tüm başvuruları kabul ediyor.
acceptable,adjective,A2,kabul edilebilir,Her behavior was acceptable.,Onun davranışı kabul edilebilir.
acceptance,noun,B1,kabul,They showed acceptance of the changes.,Değişiklikleri kabul ettiklerini gösterdiler.
access,noun,B1,erişim,You need a password for access.,Erişim için bir şifreye ihtiyacınız var.
